,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.41,100.34,86.0,66,20,5.82,MY,1596031223
1,samarai,-10.62,150.67,77.14,85,99,17.25,PG,1596031513
2,ankang,32.68,109.02,75.0,51,100,1.01,CN,1596031515
3,hambantota,6.12,81.12,84.2,74,20,8.05,LK,1596031518
4,nanortalik,60.14,-45.24,46.72,93,100,9.91,GL,1596031520
5,busselton,-33.65,115.33,48.99,83,56,4.14,AU,1596031442
6,cayenne,4.93,-52.33,86.0,62,20,3.36,GF,1596031524
7,oranjemund,-28.55,16.43,58.95,68,0,18.52,NA,1596031527
8,uige,-7.61,15.06,68.0,77,90,4.7,AO,1596031529
9,severo-kurilsk,50.68,156.12,51.49,88,100,14.14,RU,1596031532
10,punta arenas,-53.15,-70.92,39.0,80,40,2.24,CL,1596031535
11,provideniya,64.38,-173.3,49.01,90,100,8.14,RU,1596031537
12,nikolskoye,59.7,30.79,68.0,88,90,4.47,RU,1596031539
13,kapaa,22.08,-159.32,77.0,83,75,18.34,US,1596031541
14,rikitea,-23.12,-134.97,72.12,79,21,9.6,PF,1596031544
15,lorengau,-2.02,147.27,82.0,67,83,5.59,PG,1596031546
16,cockburn town,21.46,-71.14,83.07,82,0,17.0,TC,1596031548
17,arraial do cabo,-22.97,-42.03,75.2,88,75,14.99,BR,1596031346
18,necochea,-38.55,-58.74,45.0,73,0,7.0,AR,1596031552
19,omboue,-1.57,9.26,77.59,67,93,10.29,GA,1596031555
20,jamestown,42.1,-79.24,77.0,73,75,8.05,US,1596031557
21,coromandel,-18.47,-47.2,71.6,46,95,6.85,BR,1596031559
22,vila franca do campo,37.72,-25.43,73.4,88,40,11.41,PT,1596031561
23,izhma,65.01,53.91,67.6,36,0,7.36,RU,1596031564
24,port-gentil,-0.72,8.78,75.72,75,98,14.94,GA,1596031270
25,mataura,-46.19,168.86,47.62,90,100,2.62,NZ,1596031568
26,mar del plata,-38.0,-57.56,48.99,75,0,8.05,AR,1596031563
27,vanino,49.09,140.25,65.91,93,0,1.5,RU,1596031573
28,rodeo,38.03,-122.27,57.99,82,1,6.67,US,1596031576
29,khangah dogran,31.83,73.62,92.14,47,74,15.37,PK,1596031578
30,port lincoln,-34.73,135.87,53.44,86,0,4.97,AU,1596031580
31,sergeyevka,53.88,67.42,66.6,63,98,2.15,KZ,1596031582
32,bilibino,68.05,166.44,43.29,64,100,6.71,RU,1596031585
33,presidencia roque saenz pena,-26.79,-60.44,50.65,47,0,5.93,AR,1596031587
34,bluff,-46.6,168.33,49.35,92,100,12.46,NZ,1596031503
35,barrow,71.29,-156.79,42.8,81,90,25.28,US,1596031591
36,cape town,-33.93,18.42,66.0,72,75,9.17,ZA,1596031594
37,tuktoyaktuk,69.45,-133.04,46.4,87,90,3.36,CA,1596031596
38,islamkot,24.7,70.18,90.46,62,88,20.09,PK,1596031598
39,hermanus,-34.42,19.23,63.0,72,0,7.0,ZA,1596031601
40,henties bay,-22.12,14.28,61.0,85,0,1.01,NA,1596031603
41,beysehir,37.68,31.72,89.96,26,0,7.65,TR,1596031605
42,albany,42.6,-73.97,77.0,64,0,2.91,US,1596031518
43,makakilo city,21.35,-158.09,77.0,73,40,3.36,US,1596031610
44,bandarbeyla,9.49,50.81,82.8,65,89,28.36,SO,1596031612
45,luderitz,-26.65,15.16,69.8,46,0,18.34,NA,1596031614
46,teknaf,20.86,92.31,81.82,86,100,5.95,BD,1596031617
